Time [s],Channel 1
0.000000000,0
0.001121910,1
0.001122370,0
0.001123170,1
0.001123610,0
0.001124420,1
0.001125260,0
0.001125670,1
0.001126110,0
0.001126920,1
0.001127760,0
0.001128170,1
0.001128610,0
0.001129420,1
0.001129850,0
0.001130670,1
0.001131100,0
0.001131920,1
0.001132350,0
0.001133170,1
0.001133600,0
0.001134420,1
0.001134850,0
0.001135670,1
0.001136100,0
0.001136920,1
0.001137350,0
0.001138170,1
0.001138600,0
0.001139420,1
0.001139850,0
0.001140670,1
0.001141100,0
0.001141920,1
0.001142350,0
0.001143170,1
0.001144000,0
0.001144420,1
0.001145250,0
0.001145670,1
0.001146500,0
0.001146920,1
0.001147750,0
0.001148170,1
0.001148600,0
0.001149420,1
0.001149850,0
0.001150670,1
0.001151100,0
0.001151920,1
0.001152350,0
0.001153170,1
0.001153600,0
0.001154420,1
0.001155250,0
0.001155670,1
0.001156100,0
0.001156920,1
0.001157750,0
0.001158170,1
0.001158600,0
0.001159420,1
0.001159850,0
0.001160670,1
0.001161100,0
0.001161920,1
0.001162350,0
0.001163170,1
0.001163600,0
0.001164420,1
0.001164850,0
0.001165670,1
0.001166100,0
0.001166920,1
0.001167350,0
0.001168170,1
0.001168600,0
0.001169420,1
0.001169850,0
0.001170670,1
0.001171100,0
0.001171920,1
0.001172350,0
0.001173170,1
0.001174000,0
0.001174420,1
0.001175250,0
0.001175670,1
0.001176500,0
0.001176920,1
0.001177750,0
0.001178170,1
0.001178600,0
0.001179420,1
0.001179850,0
0.001180670,1
0.001181100,0
0.001181920,1
0.001182350,0
0.001183170,1
0.001183600,0
0.001184420,1
0.001185250,0
0.001185670,1
0.001186100,0
0.001186920,1
0.001187750,0
0.001188170,1
0.001188600,0
0.001189420,1
0.001189850,0
0.001190670,1
0.001191100,0
0.001191920,1
0.001192350,0
0.001193170,1
0.001193600,0
0.001194420,1
0.001194850,0
0.001195670,1
0.001196100,0
0.001196920,1
0.001197350,0
0.001198170,1
0.001198600,0
0.001199420,1
0.001199850,0
0.001200670,1
0.001201100,0
0.001201920,1
0.001202350,0
0.001203170,1
0.001204000,0
0.001204420,1
0.001205250,0
0.001205670,1
0.001206500,0
0.001206920,1
0.001207750,0
0.001208170,1
0.001208600,0
0.001209420,1
0.001209850,0
0.001210670,1
0.001211100,0
0.001211920,1
0.001212350,0
0.001213170,1
0.001213600,0
0.001214420,1
0.001215250,0
0.001215670,1
0.001216100,0
0.001216920,1
0.001217750,0
0.001218170,1
0.001218600,0
0.001219420,1
0.001219850,0
0.001220670,1
0.001221100,0
0.001221920,1
0.001222350,0
0.001223170,1
0.001223600,0
0.001224420,1
0.001224850,0
0.001225670,1
0.001226100,0
0.001226920,1
0.001227350,0
0.001228170,1
0.001228600,0
0.001229420,1
0.001229850,0
0.001230670,1
0.001231100,0
0.001231920,1
0.001232350,0
0.001233170,1
0.001234000,0
0.001234420,1
0.001235250,0
0.001235670,1
0.001236500,0
0.001236920,1
0.001237750,0
0.001238170,1
0.001238600,0
0.001239420,1
0.001239850,0
0.001240670,1
0.001241100,0
0.021100600,1
0.021146780,0
0.521988780,1
1.021985510,0
1.522982640,1
2.023987380,0
2.523980500,1
3.023979880,0
3.523977690,1
4.023977070,0
5.514854400,0
